ПР-8-4.6,8.0,3.0,2.31,5.0,7.5
ПР-9.525-9.1,9.525,5.72,3.28,6.35,8.5
ПР-12.7-18.2-1,12.7,5.4,4.45,8.51,11.8
ПР-12.7-18.2,12.7,7.75,4.45,8.51,11.8
ПР-15.875-23-1,15.875,6.48,5.08,10.16,14.8
ПР-15.875-23-2,15.875,9.65,5.08,10.16,14.8
ПР-19.05-31.8,19.05,12.7,5.94,11.91,17.0
ПР-25.4-60,25.4,15.88,7.92,15.88,24.2
ПР-31.75-89,31.75,19.05,9.53,19.05,30.2
ПР-38.1-127,38.1,25.4,11.1,22.23,36.2
ПР-44.45-172.4,44.45,25.4,12.7,25.4,42.4
ПР-50.8-227,50.8,31.75,14.27,28.58,48.3
ПР-63.5-354,63.5,38.10,19.84,39.68,60.4
